time,total_AbsAbun,Shannon,BrayCurtis,BrayCurtis_delta_t,kld,jsd
27,46.0578,1.54284,0.00851264,1.26831e-05,2.96262e-07,7.4018e-08
27.1,46.0694,1.54352,0.00838738,1.24009e-05,2.86572e-07,7.15973e-08
27.2,46.0807,1.54418,0.00826489,1.21275e-05,2.77363e-07,6.92966e-08
27.3,46.0917,1.54483,0.00814508,1.18626e-05,2.68604e-07,6.71084e-08
27.4,46.1025,1.54547,0.00802789,1.16058e-05,2.60267e-07,6.50257e-08
27.5,46.1131,1.54608,0.00791321,1.13569e-05,2.52326e-07,6.30418e-08
27.6,46.1234,1.54669,0.00780098,1.11155e-05,2.44756e-07,6.11507e-08
27.7,46.1336,1.54728,0.00769113,1.08814e-05,2.37535e-07,5.93466e-08
27.8,46.1435,1.54786,0.00758357,1.06543e-05,2.30641e-07,5.76243e-08
27.9,46.1532,1.54843,0.00747825,1.0434e-05,2.24054e-07,5.59787e-08
28,46.1627,1.54899,0.0073751,1.02202e-05,2.17757e-07,5.44053e-08
28.1,46.1721,1.54953,0.00727405,1.00127e-05,2.11731e-07,5.28999e-08
28.2,46.1812,1.55007,0.00717504,9.81123e-06,2.05961e-07,5.14583e-08
28.3,46.1902,1.55059,0.00707801,9.61559e-06,2.00432e-07,5.0077e-08
28.4,46.199,1.5511,0.00698291,9.42559e-06,1.95129e-07,4.87523e-08
28.5,46.2076,1.55161,0.00688968,9.241e-06,1.90042e-07,4.74812e-08
28.6,46.216,1.5521,0.00679827,9.06163e-06,1.85156e-07,4.62605e-08
28.7,46.2243,1.55258,0.00670862,8.8873e-06,1.8046e-07,4.50874e-08
28.8,46.2325,1.55306,0.00662068,8.71783e-06,1.75945e-07,4.39594e-08
28.9,46.2404,1.55353,0.00653442,8.55305e-06,1.71601e-07,4.28739e-08
29,46.2483,1.55398,0.00644978,8.39278e-06,1.67417e-07,4.18287e-08
29.1,46.2559,1.55443,0.00636671,8.23687e-06,1.63386e-07,4.08216e-08
29.2,46.2635,1.55487,0.00628519,8.08516e-06,1.595e-07,3.98506e-08
29.3,46.2709,1.55531,0.00620515,7.93751e-06,1.55751e-07,3.89139e-08
29.4,46.2782,1.55573,0.00612658,7.79378e-06,1.52131e-07,3.80096e-08
29.5,46.2853,1.55615,0.00604941,7.65383e-06,1.48635e-07,3.71362e-08
29.6,46.2923,1.55656,0.00597363,7.51752e-06,1.45257e-07,3.6292e-08
29.7,46.2992,1.55697,0.00589919,7.38475e-06,1.4199e-07,3.54757e-08
29.8,46.306,1.55737,0.00582606,7.25537e-06,1.38829e-07,3.46859e-08
29.9,46.3126,1.55776,0.0057542,7.12929e-06,1.35768e-07,3.39214e-08
30,46.3192,1.55814,0.00568359,7.00638e-06,1.32804e-07,3.31808e-08
30.1,46.3256,1.55852,0.00561419,6.88654e-06,1.29932e-07,3.24632e-08
30.2,46.3319,1.5589,0.00554598,6.76967e-06,1.27147e-07,3.17674e-08
30.3,46.3382,1.55926,0.00547891,6.65567e-06,1.24446e-07,3.10925e-08
30.4,46.3443,1.55962,0.00541297,6.54444e-06,1.21825e-07,3.04376e-08
30.5,46.3503,1.55998,0.00534813,6.4359e-06,1.1928e-07,2.98017e-08
30.6,46.3562,1.56033,0.00528435,6.32995e-06,1.16808e-07,2.9184e-08
30.7,46.362,1.56067,0.00522163,6.22652e-06,1.14406e-07,2.85838e-08
30.8,46.3677,1.56101,0.00515992,6.12552e-06,1.1207e-07,2.80003e-08
30.9,46.3734,1.56135,0.00509921,6.02687e-06,1.09799e-07,2.74328e-08
31,46.3789,1.56168,0.00503948,5.93051e-06,1.0759e-07,2.68808e-08
31.1,46.3844,1.562,0.00498069,5.83635e-06,1.05439e-07,2.63435e-08
31.2,46.3897,1.56232,0.00492284,5.74434e-06,1.03346e-07,2.58203e-08
31.3,46.395,1.56264,0.00486589,5.65439e-06,1.01306e-07,2.53108e-08
31.4,46.4002,1.56295,0.00480983,5.56646e-06,9.93198e-08,2.48144e-08
31.5,46.4053,1.56326,0.00475465,5.48048e-06,9.73836e-08,2.43306e-08
31.6,46.4104,1.56356,0.00470031,5.39638e-06,9.5496e-08,2.3859e-08
31.7,46.4153,1.56386,0.0046468,5.31412e-06,9.36552e-08,2.3399e-08
31.8,46.4202,1.56415,0.0045941,5.23364e-06,9.18595e-08,2.29503e-08
31.9,46.425,1.56444,0.0045422,5.15488e-06,9.01074e-08,2.25125e-08
32,46.4298,1.56473,0.00449108,5.0778e-06,8.83972e-08,2.20852e-08
32.1,46.4345,1.56501,0.00444072,5.00235e-06,8.67276e-08,2.1668e-08
32.2,46.4391,1.56529,0.0043911,4.92847e-06,8.50972e-08,2.12606e-08
